t0 t1 t2 i0 i1 i2 m0 m1 m2 r0 r1 r2 p0 p1 p2 
97.3554 0.7035944 1.411571 2.162653 2.825351 2.240487 2.135533 2.825351 2.240492 2.162653 2.825354 2.240489 2.162651 2.825352 2.424508 
97.36868 0.7537385 1.512165 2.316754 3.026644 2.400133 2.289635 3.026643 2.400136 2.316754 3.026646 2.400134 2.316751 3.026644 2.584152 
97.37757 0.7872699 1.579433 2.419801 3.161247 2.506886 2.392681 3.161246 2.506891 2.419801 3.16125 2.506888 2.419798 3.161247 2.690906 
97.39143 0.8395604 1.684332 2.580497 3.371151 2.673363 2.553377 3.371151 2.673367 2.580497 3.371155 2.673364 2.580495 3.371152 2.857383 
97.40092 0.875277 1.755983 2.690258 3.514525 2.787073 2.663139 3.514524 2.787077 2.690258 3.514528 2.787075 2.690256 3.514525 2.971093 
97.41055 0.9116744 1.828999 2.802111 3.66063 2.90295 2.774992 3.660629 2.902954 2.802112 3.660633 2.902952 2.802109 3.660631 3.08697 
97.42544 0.9677571 1.941506 2.974461 3.885756 3.081499 2.947341 3.885757 3.081503 2.97446 3.88576 3.081501 2.974459 3.885758 3.26552 
97.43549 1.005618 2.017458 3.090811 4.037735 3.202035 3.063692 4.037736 3.202039 3.090811 4.037738 3.202037 3.09081 4.037737 3.386056 
97.45097 1.063988 2.134555 3.270192 4.272048 3.38787 3.243072 4.272048 3.387873 3.270192 4.272051 3.387871 3.270191 4.272048 3.571889 
97.4615 1.103729 2.214277 3.392319 4.431574 3.51439 3.3652 4.431575 3.514393 3.392319 4.431576 3.514392 3.392319 4.431574 3.69841 
97.47765 1.164569 2.33633 3.579293 4.675805 3.708091 3.552174 4.675806 3.708092 3.579293 4.675808 3.708092 3.579292 4.675806 3.892111 
97.48868 1.206183 2.419811 3.707181 4.842855 3.840578 3.680061 4.842856 3.84058 3.707181 4.842859 3.840581 3.70718 4.842857 4.024599 
