t0 t1 t2 i0 i1 i2 m0 m1 m2 r0 r1 r2 p0 p1 p2 
100.613 12.97972 26.03934 39.89202 52.11168 41.32743 39.86491 52.11167 41.32742 39.89203 52.11163 41.32742 39.89204 52.11164 41.51143 
100.6348 13.06194 26.20429 40.14473 52.4418 41.58923 40.11761 52.44179 41.58922 40.14474 52.44176 41.58922 40.14476 52.44177 41.77323 
100.6675 13.185 26.45118 40.52297 52.9359 41.98108 40.49586 52.9359 41.98108 40.52298 52.93587 41.98107 40.52299 52.93587 42.16507 
100.6892 13.26686 26.6154 40.77456 53.26458 42.24173 40.74745 53.26457 42.24172 40.77457 53.26453 42.24171 40.77459 53.26455 42.42572 
100.7217 13.38935 26.86114 41.15105 53.7564 42.63177 41.12394 53.7564 42.63176 41.15106 53.75637 42.63175 41.15108 53.75638 42.81576 
100.7433 13.47081 27.02457 41.40143 54.08349 42.89115 41.37432 54.08348 42.89114 41.40144 54.08345 42.89114 41.40145 54.08346 43.07515 
100.7649 13.55211 27.18766 41.65129 54.40992 43.15001 41.62419 54.4099 43.15001 41.6513 54.40989 43.15 41.65133 54.4099 43.33401 
100.7972 13.67373 27.43166 42.02511 54.89827 43.53728 41.998 54.89825 43.53727 42.02512 54.89823 43.53727 42.02514 54.89824 43.72128 
100.8186 13.75459 27.59387 42.27364 55.22294 43.79475 42.24653 55.22292 43.79474 42.27365 55.2229 43.79474 42.27367 55.22292 43.97875 
100.8507 13.87553 27.83651 42.64538 55.70858 44.17987 42.61827 55.70856 44.17986 42.64539 55.70854 44.17985 42.6454 55.70855 44.36386 
100.872 13.95592 27.9978 42.89249 56.0314 44.43586 42.86538 56.03138 44.43586 42.89249 56.03136 44.43585 42.89251 56.03137 44.61986 
100.904 14.07614 28.23898 43.26199 56.51412 44.81866 43.23487 56.5141 44.81866 43.26199 56.51408 44.81865 43.26201 56.51408 45.00266 
100.9254 14.1571 28.40141 43.51085 56.83924 45.07648 43.48374 56.83922 45.07648 43.51086 56.8392 45.07646 43.51088 56.83921 45.26049 
100.9463 14.23572 28.55914 43.75251 57.15493 45.32682 43.72539 57.15491 45.32681 43.7525 57.15489 45.32681 43.75252 57.1549 45.51082 
100.9779 14.35485 28.79813 44.11867 57.63329 45.70616 44.09155 57.63327 45.70616 44.11867 57.63325 45.70615 44.11869 57.63326 45.89016 
100.9989 14.434 28.95693 44.36194 57.9511 45.95819 44.33483 57.95108 45.95819 44.36194 57.95107 45.95818 44.36196 57.95108 46.1422 
101.0303 14.55231 29.19426 44.72557 58.42616 46.3349 44.69845 58.42614 46.3349 44.72557 58.42611 46.33489 44.72559 58.42613 46.51891 
101.0512 14.63119 29.35254 44.96805 58.74293 46.58611 44.94093 58.74292 46.58611 44.96805 58.74289 46.5861 44.96806 58.74291 46.77012 
101.0827 14.7496 29.59009 45.33199 59.21838 46.96314 45.30486 59.21836 46.96314 45.33199 59.21835 46.96313 45.332 59.21836 47.14715 
101.103 14.8263 29.74395 45.56772 59.52634 47.20736 45.5406 59.52633 47.20736 45.56772 59.52631 47.20734 45.56773 59.52633 47.39137 
101.1339 14.9428 29.9777 45.92583 59.99417 47.57835 45.8987 59.99416 47.57834 45.92583 59.99415 47.57834 45.92583 59.99416 47.76237 
101.1545 15.02016 30.13288 46.16358 60.30476 47.82465 46.13645 60.30475 47.82465 46.16357 60.30474 47.82464 46.16359 60.30476 48.00867 
101.1754 15.0991 30.29125 46.40622 60.62175 48.07602 46.37909 60.62174 48.07602 46.40621 60.62173 48.07601 46.40622 60.62174 48.26003 
101.2056 15.21276 30.51927 46.75554 61.0781 48.4379 46.72841 61.07809 48.43791 46.75553 61.07809 48.4379 46.75554 61.07809 48.62193 
101.2261 15.2902 30.67462 46.99355 61.38903 48.68449 46.96642 61.38902 48.68448 46.99355 61.38902 48.68447 46.99355 61.38902 48.8685 
101.2561 15.40295 30.90081 47.34006 61.84172 49.04346 47.31293 61.8417 49.04347 47.34005 61.84169 49.04346 47.34006 61.8417 49.22749 
101.2762 15.47871 31.05281 47.57292 62.1459 49.28469 47.5458 62.14589 49.2847 47.57291 62.1459 49.28469 47.57292 62.1459 49.46872 
101.3062 15.59172 31.27952 47.92023 62.59962 49.64451 47.8931 62.59962 49.64452 47.92023 62.59961 49.64451 47.92023 62.59962 49.82854 
101.326 15.66672 31.42998 48.15072 62.90069 49.88329 48.12359 62.9007 49.88329 48.15071 62.9007 49.88329 48.15071 62.9007 50.06731 
101.3459 15.74142 31.57983 48.38028 63.20056 50.1211 48.35315 63.20057 50.12111 48.38028 63.20057 50.12111 48.38027 63.20058 50.30513 
101.3755 15.85293 31.80352 48.72295 63.64818 50.47611 48.69582 63.64819 50.4761 48.72295 63.6482 50.47611 48.72294 63.6482 50.66013 
101.3951 15.9269 31.95193 48.95028 63.94512 50.7116 48.92315 63.94513 50.71161 48.95027 63.94514 50.71161 48.95026 63.94513 50.89563 
101.4246 16.03796 32.17471 49.29155 64.39089 51.06516 49.26443 64.39091 51.06516 49.29155 64.39091 51.06517 49.29154 64.39091 51.24918 
101.4438 16.11025 32.31974 49.51371 64.68107 51.2953 49.48658 64.68108 51.29531 49.51371 64.68109 51.29531 49.51369 64.68108 51.47933 
101.4729 16.22006 32.54002 49.85114 65.1218 51.64486 49.82401 65.12182 51.64487 49.85113 65.12183 51.64489 49.85112 65.12182 51.8289 
101.4921 16.29241 32.68516 50.07346 65.41219 51.87518 50.04633 65.41219 51.87519 50.07346 65.41222 51.87519 50.07344 65.41221 52.05922 
101.5205 16.39939 32.89976 50.40219 65.84156 52.21574 50.37506 65.84156 52.21574 50.40219 65.84159 52.21575 50.40218 65.84158 52.39977 
101.5395 16.47083 33.04306 50.62169 66.12826 52.44313 50.59456 66.12827 52.44314 50.62169 66.12828 52.44315 50.62167 66.12828 52.62716 
101.5586 16.54284 33.18751 50.84297 66.41727 52.67237 50.81584 66.41729 52.67238 50.84296 66.4173 52.67238 50.84295 66.4173 52.8564 
101.5864 16.64786 33.39819 51.16568 66.83878 53.00668 51.13855 66.83879 53.00669 51.16568 66.83881 53.00671 51.16565 66.83881 53.19071 
101.6051 16.71804 33.53897 51.38134 67.12046 53.2301 51.35421 67.12046 53.23011 51.38133 67.1205 53.23012 51.38132 67.12049 53.41413 
101.6328 16.82262 33.74875 51.70269 67.54019 53.56301 51.67555 67.54019 53.56301 51.70267 67.54021 53.56302 51.70266 67.54021 53.74703 
101.6514 16.89271 33.88936 51.91808 67.82153 53.78615 51.89095 67.82154 53.78616 51.91807 67.82156 53.78616 51.91806 67.82156 53.97017 
101.6787 16.99555 34.09566 52.23409 68.2343 54.11353 52.20697 68.2343 54.11354 52.23409 68.23434 54.11354 52.23407 68.23433 54.29755 
101.6967 17.06331 34.23159 52.44232 68.50627 54.32924 52.41519 68.50628 54.32924 52.44231 68.50631 54.32926 52.44229 68.5063 54.51327 
101.7147 17.1312 34.36778 52.65096 68.77879 54.54539 52.62382 68.7788 54.54539 52.65094 68.77882 54.54539 52.65093 68.77882 54.72941 
101.7415 17.2323 34.57059 52.96162 69.18459 54.86723 52.93449 69.18459 54.86724 52.96161 69.18462 54.86724 52.96159 69.18462 55.05125 
101.7596 17.30056 34.70753 53.1714 69.45861 55.08456 53.14426 69.45862 55.08457 53.17139 69.45865 55.08457 53.17138 69.45863 55.26858 
101.7857 17.39876 34.90452 53.47318 69.85281 55.3972 53.44605 69.85281 55.3972 53.47317 69.85284 55.39721 53.47316 69.85284 55.58121 
101.8034 17.46517 35.03774 53.67728 70.11942 55.60865 53.65016 70.11942 55.60865 53.67728 70.11945 55.60866 53.67726 70.11944 55.79266 
101.8293 17.56306 35.23412 53.97813 70.5124 55.92031 53.95099 70.5124 55.92031 53.97811 70.51244 55.92031 53.9781 70.51242 56.10432 
101.8464 17.62741 35.36322 54.1759 70.77076 56.12519 54.14876 70.77075 56.12521 54.17589 70.77078 56.12521 54.17588 70.77078 56.30921 
101.8721 17.72412 35.55724 54.47314 71.15906 56.43314 54.44601 71.15905 56.43314 54.47313 71.15907 56.43314 54.47312 71.15907 56.61715 
101.8889 17.78749 35.68437 54.66791 71.4135 56.63492 54.64078 71.41349 56.63492 54.6679 71.41352 56.63492 54.66789 71.41351 56.81893 
101.9057 17.85075 35.81128 54.86235 71.66749 56.83635 54.83521 71.66748 56.83635 54.86233 71.66752 56.83635 54.86232 71.66751 57.02036 
101.9306 17.94479 35.99995 55.15141 72.04511 57.1358 55.12427 72.0451 57.13581 55.15138 72.04512 57.13581 55.15138 72.04512 57.31982 
101.9471 18.00691 36.12458 55.34235 72.29457 57.33363 55.31521 72.29456 57.33363 55.34233 72.29458 57.33363 55.34233 72.29458 57.51764 
101.9635 18.06857 36.24829 55.53188 72.54218 57.52999 55.50475 72.54217 57.52999 55.53187 72.5422 57.52999 55.53187 72.54218 57.71399 
101.9906 18.17083 36.45344 55.84621 72.95281 57.85562 55.81907 72.9528 57.85563 55.84618 72.95283 57.85563 55.84618 72.95283 58.03962 
102.0066 18.23107 36.57428 56.03136 73.19473 58.04744 56.00422 73.1947 58.04744 56.03135 73.19473 58.04744 56.03134 73.19473 58.23144 
102.0305 18.32106 36.75484 56.30801 73.55617 58.33405 56.28088 73.55614 58.33406 56.30799 73.55617 58.33405 56.30799 73.55618 58.51805 
102.0461 18.38008 36.87325 56.48943 73.79317 58.52199 56.46229 73.79317 58.522 56.4894 73.7932 58.52199 56.48941 73.79318 58.706 
102.0696 18.46848 37.05062 56.76119 74.14824 58.80354 56.73406 74.14823 58.80355 56.76118 74.14826 58.80355 56.76118 74.14825 58.98756 
102.0849 18.52632 37.16666 56.93898 74.38054 58.98774 56.91185 74.38053 58.98775 56.93897 74.38055 58.98774 56.93897 74.38055 59.17175 
102.1002 18.58368 37.28173 57.11531 74.6109 59.1704 57.08817 74.61089 59.17041 57.11529 74.61092 59.17041 57.11529 74.61091 59.3544 
102.1227 18.66878 37.45248 57.37693 74.95273 59.44145 57.34979 74.95271 59.44146 57.37691 74.95274 59.44145 57.37691 74.95274 59.62545 
102.1376 18.72497 37.56521 57.54966 75.17841 59.6204 57.52253 75.17839 59.6204 57.54964 75.17842 59.6204 57.54964 75.17841 59.8044 
102.1599 18.80872 37.73325 57.80714 75.51482 59.88715 57.78001 75.5148 59.88715 57.80711 75.51483 59.88715 57.80712 75.51482 60.07115 
102.1744 18.86343 37.84301 57.97531 75.73455 60.06138 57.94818 75.73454 60.06139 57.9753 75.73455 60.06138 57.9753 75.73454 60.24538 
102.1958 18.9441 38.00486 58.2233 76.05857 60.31829 58.19617 76.05855 60.3183 58.22329 76.05856 60.31829 58.22329 76.05856 60.50229 
102.21 18.99762 38.11225 58.38784 76.27355 60.48877 58.36072 76.27354 60.48878 58.38783 76.27356 60.48877 58.38784 76.27356 60.67277 
102.231 19.07689 38.27129 58.63153 76.59193 60.74121 58.6044 76.59193 60.74122 58.63152 76.59194 60.74122 58.63152 76.59193 60.92523 
102.2448 19.12905 38.37593 58.79187 76.80141 60.90733 58.76474 76.8014 60.90733 58.79185 76.80142 60.90733 58.79186 76.80141 61.09133 
102.2585 19.18065 38.47946 58.95049 77.00865 61.07165 58.92335 77.00864 61.07167 58.95047 77.00866 61.07165 58.95048 77.00866 61.25566 
102.2788 19.25699 38.63264 59.18517 77.31528 61.3148 59.15805 77.31527 61.31481 59.18517 77.31528 61.3148 59.18517 77.31528 61.49881 
102.2921 19.30718 38.73333 59.33945 77.51684 61.47463 59.31233 77.51684 61.47463 59.33945 77.51685 61.47463 59.33945 77.51684 61.65864 
102.3118 19.38139 38.88221 59.56755 77.81483 61.71095 59.54043 77.81483 61.71095 59.56755 77.81483 61.71095 59.56755 77.81484 61.89496 
102.3248 19.43024 38.98021 59.71769 78.01099 61.86649 59.69057 78.01098 61.86649 59.71769 78.01099 61.86648 59.7177 78.01099 62.0505 
102.3439 19.50224 39.12466 59.939 78.30008 62.09575 59.91187 78.30008 62.09575 59.939 78.30008 62.09575 59.939 78.30009 62.27978 
102.3564 19.5496 39.21967 60.08453 78.4902 62.24652 60.05741 78.4902 62.24652 60.08453 78.49019 62.24653 60.08454 78.4902 62.43055 
102.3688 19.59612 39.31301 60.22752 78.67699 62.39466 60.2004 78.67699 62.39465 60.22752 78.67699 62.39466 60.22752 78.67699 62.57868 
102.387 19.66501 39.45122 60.43925 78.95357 62.61401 60.41214 78.95358 62.61401 60.43926 78.95357 62.61401 60.43926 78.95358 62.79803 
102.399 19.71018 39.54183 60.57807 79.13491 62.75782 60.55095 79.13491 62.75781 60.57808 79.1349 62.75782 60.57808 79.13491 62.94184 
102.4167 19.77678 39.67545 60.78276 79.40228 62.96988 60.75564 79.40231 62.96986 60.78277 79.40228 62.96988 60.78277 79.40228 63.1539 
102.4283 19.82041 39.76297 60.91684 79.57742 63.10877 60.88972 79.57744 63.10877 60.91685 79.57742 63.10878 60.91684 79.57742 63.2928 
102.4454 19.88496 39.89246 61.1152 79.83653 63.31427 61.08808 79.83656 63.31425 61.11521 79.83652 63.31428 61.1152 79.83653 63.4983 
102.4565 19.92673 39.97626 61.24358 80.00423 63.44729 61.21648 80.00426 63.44728 61.2436 80.00423 63.44728 61.2436 80.00424 63.63131 
102.4729 19.98862 40.10042 61.43378 80.25268 63.64431 61.40667 80.2527 63.6443 61.43379 80.25268 63.64432 61.4338 80.25268 63.82835 
102.4836 20.02907 40.18158 61.5581 80.41507 63.77311 61.53099 80.4151 63.7731 61.55811 80.41506 63.77311 61.55811 80.41508 63.95714 
102.4943 20.0691 40.26185 61.68108 80.5757 63.90051 61.65397 80.57572 63.9005 61.68108 80.57569 63.90052 61.68108 80.5757 64.08453 
102.5097 20.12736 40.37876 61.86016 80.80963 64.08604 61.83304 80.80965 64.08601 61.86017 80.80962 64.08604 61.86015 80.80963 64.27007 
102.5198 20.16553 40.45531 61.97743 80.96282 64.20753 61.95033 80.96284 64.20751 61.97744 80.9628 64.20754 61.97744 80.96281 64.39156 
102.5347 20.22153 40.56765 62.14951 81.18759 64.3858 62.12241 81.18762 64.38578 62.14952 81.18759 64.38582 62.14952 81.18759 64.56984 
102.5444 20.25801 40.64084 62.26165 81.33407 64.50198 62.23455 81.3341 64.50196 62.26166 81.33406 64.50198 62.26165 81.33407 64.68602 
102.5586 20.31147 40.7481 62.42595 81.54868 64.67219 62.39885 81.54872 64.67217 62.42596 81.54868 64.6722 62.42596 81.54868 64.85622 
102.5678 20.34636 40.81808 62.53316 81.68873 64.78326 62.50606 81.68877 64.78324 62.53318 81.68872 64.78326 62.53317 81.68872 64.96729 
102.5813 20.39715 40.91996 62.68925 81.89261 64.94495 62.66215 81.89265 64.94493 62.68926 81.89259 64.94496 62.68924 81.89259 65.12899 
102.5901 20.43031 40.9865 62.79117 82.02576 65.05056 62.76408 82.02579 65.05054 62.79119 82.02575 65.05057 62.79117 82.02575 65.23458 
102.5986 20.46255 41.05117 62.89024 82.15519 65.15321 62.86316 82.15522 65.15318 62.89027 82.15517 65.15321 62.89024 82.15517 65.33723 
102.6112 20.50976 41.14588 63.03532 82.3447 65.3035 63.00824 82.34473 65.30347 63.03534 82.34468 65.3035 63.03532 82.34468 65.48754 
102.6193 20.54034 41.20723 63.12931 82.46745 65.40086 63.10221 82.46751 65.40083 63.12932 82.46745 65.40086 63.1293 82.46744 65.5849 
102.6311 20.58486 41.29654 63.26613 82.64619 65.5426 63.23904 82.64623 65.54258 63.26614 82.64619 65.54262 63.26613 82.64618 65.72665 
102.6387 20.61365 41.3543 63.35462 82.7618 65.63428 63.32754 82.76183 65.63426 63.35464 82.76178 65.63429 63.35462 82.76177 65.81833 
102.6499 20.65571 41.43867 63.48388 82.93065 65.7682 63.45679 82.93069 65.76817 63.4839 82.93063 65.7682 63.48388 82.93063 65.95223 
102.6571 20.68266 41.49275 63.56673 83.03887 65.85403 63.53965 83.03891 65.854 63.56674 83.03885 65.85403 63.56673 83.03885 66.03806 
102.664 20.7088 41.54517 63.64705 83.14378 65.93723 63.61995 83.14383 65.9372 63.64706 83.14378 65.93724 63.64704 83.14376 66.12126 
102.674 20.74647 41.62074 63.76282 83.29504 66.05717 63.73573 83.29507 66.05717 63.76284 83.29503 66.05718 63.76282 83.29502 66.24122 
102.6805 20.77111 41.67018 63.83857 83.39399 66.13565 63.81149 83.39404 66.13562 63.83858 83.39397 66.13566 63.83855 83.39397 66.31968 
102.6897 20.80585 41.73988 63.94535 83.53351 66.2463 63.91827 83.53355 66.24626 63.94537 83.53349 66.24629 63.94535 83.53348 66.43031 
102.6957 20.82827 41.78485 64.01427 83.62353 66.31768 63.98718 83.62358 66.31765 64.01428 83.62352 66.31768 64.01426 83.62351 66.5017 
102.7042 20.86045 41.84942 64.11319 83.75277 66.42015 64.08611 83.75281 66.42013 64.1132 83.75275 66.42016 64.11317 83.75274 66.60418 
102.7097 20.88093 41.89051 64.17615 83.83503 66.48539 64.14907 83.83507 66.48535 64.17616 83.83502 66.4854 64.17614 83.835 66.66942 
102.7175 20.91044 41.9497 64.26685 83.95351 66.57934 64.23975 83.95356 66.57932 64.26685 83.95351 66.57935 64.26683 83.95348 66.76338 
102.7224 20.92871 41.98636 64.323 84.02689 66.63753 64.29592 84.02693 66.6375 64.32301 84.02688 66.63754 64.32298 84.02688 66.82155 
102.7271 20.94655 42.02216 64.37786 84.09856 66.69436 64.35077 84.09859 66.69433 64.37786 84.09855 66.69435 64.37784 84.09853 66.87838 
102.7338 20.9718 42.07281 64.45547 84.19995 66.77476 64.42838 84.19998 66.77473 64.45547 84.19995 66.77477 64.45545 84.19993 66.95878 
102.7379 20.98723 42.10378 64.50293 84.26197 66.82391 64.47582 84.26199 66.82389 64.50293 84.26195 66.82392 64.50291 84.26193 67.00796 
102.7438 21.00929 42.14803 64.57072 84.35054 66.89416 64.54362 84.35059 66.89414 64.57072 84.35054 66.89416 64.57069 84.35052 67.07818 
102.7474 21.02311 42.17576 64.61321 84.40606 66.93817 64.58612 84.4061 66.93815 64.61322 84.40606 66.93819 64.6132 84.40604 67.1222 
102.7524 21.04194 42.21355 64.67111 84.48172 66.99816 64.64402 84.48176 66.99813 64.67112 84.48171 66.99817 64.6711 84.4817 67.18218 
102.7555 21.05356 42.23685 64.70683 84.52837 67.03515 64.67973 84.5284 67.03513 64.70683 84.52837 67.03515 64.7068 84.52835 67.21918 
102.7584 21.06434 42.25848 64.73995 84.57168 67.06948 64.71287 84.5717 67.06946 64.73996 84.57166 67.06949 64.73995 84.57166 67.2535 
102.7622 21.07893 42.28776 64.78484 84.63031 67.11597 64.75773 84.63033 67.11595 64.78483 84.6303 67.11596 64.78481 84.63029 67.3 
